Scenario,GW,player_code,position_key,multiplier
GW1 - Mykolenko,1,496,1,1
GW1 - Mykolenko,1,10,2,1
GW1 - Mykolenko,1,233,3,1
GW1 - Mykolenko,1,4,4,1
GW1 - Mykolenko,1,8,5,1
GW1 - Mykolenko,1,124,6,1
GW1 - Mykolenko,1,426,7,1
GW1 - Mykolenko,1,368,8,1
GW1 - Mykolenko,1,411,9,2
GW1 - Mykolenko,1,165,10,1
GW1 - Mykolenko,1,346,11,1
GW1 - Rogers,1,496,1,1
GW1 - Rogers,1,10,2,1
GW1 - Rogers,1,423,3,1
GW1 - Rogers,1,4,4,1
GW1 - Rogers,1,8,5,1
GW1 - Rogers,1,124,6,1
GW1 - Rogers,1,426,7,1
GW1 - Rogers,1,40,8,1
GW1 - Rogers,1,411,9,2
GW1 - Rogers,1,165,10,1
GW1 - Rogers,1,346,11,1
GW1 - Mykolenko & Rogers,1,496,1,1
GW1 - Mykolenko & Rogers,1,10,2,1
GW1 - Mykolenko & Rogers,1,233,3,1
GW1 - Mykolenko & Rogers,1,4,4,1
GW1 - Mykolenko & Rogers,1,8,5,1
GW1 - Mykolenko & Rogers,1,124,6,1
GW1 - Mykolenko & Rogers,1,426,7,1
GW1 - Mykolenko & Rogers,1,40,8,1
GW1 - Mykolenko & Rogers,1,411,9,2
GW1 - Mykolenko & Rogers,1,165,10,1
GW1 - Mykolenko & Rogers,1,346,11,1
GW2 - Konsa Benched,2,496,1,1
GW2 - Konsa Benched,2,10,2,1
GW2 - Konsa Benched,2,423,3,1
GW2 - Konsa Benched,2,4,4,1
GW2 - Konsa Benched,2,8,5,1
GW2 - Konsa Benched,2,124,6,1
GW2 - Konsa Benched,2,426,7,1
GW2 - Konsa Benched,2,368,8,1
GW2 - Konsa Benched,2,411,9,2
GW2 - Konsa Benched,2,165,10,1
GW2 - Konsa Benched,2,346,11,1
GW3 - Free Hit,3,572,1,1
GW3 - Free Hit,3,279,2,1
GW3 - Free Hit,3,277,3,1
GW3 - Free Hit,3,391,4,1
GW3 - Free Hit,3,399,5,1
GW3 - Free Hit,3,15,6,1
GW3 - Free Hit,3,367,7,1
GW3 - Free Hit,3,426,8,1
GW3 - Free Hit,3,411,9,2
GW3 - Free Hit,3,379,10,1
GW3 - Free Hit,3,249,11,1
