,player_code,first_name,web_name,second_name,player_name,position_id,position,team,round,value,selected,fixture,round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
525,19,Gabriel,Martinelli,Martinelli Silva,Gabriel Martinelli Silva,3,MID,Arsenal,25,6500000,7408636,LEI (A) / EVE (H),26,180,3,0,2,0,0,0,0,1,0,0,6,180.0,1,1.06,0.3,1.38,3,14.2,-11.8
7876,280,Virgil,Van Dijk,van Dijk,Virgil van Dijk,2,DEF,Liverpool,25,6500000,2493768,CRY (A) / WOL (H),24,180,1,0,2,0,0,0,0,0,0,0,6,180.0,0,0.67,0.02,1.53,3,11.08,-12.92
8891,318,Erling,Haaland,Haaland,Erling Haaland,4,FWD,Man City,9,12100000,8548463,MUN (H),23,90,3,2,0,3,0,0,0,0,0,0,3,90.0,0,1.11,0.76,1.67,3,11.72,-11.28
7830,279,Roberto,Firmino,Firmino,Roberto Firmino,4,FWD,Liverpool,4,8000000,132781,BOU (H),22,68,2,3,1,0,0,0,0,0,0,0,3,70.0,1,1.18,0.43,0.33,2,10.01,-11.99
7958,283,Mohamed,Salah,Salah,Mohamed Salah,3,MID,Liverpool,26,12700000,2970326,MUN (H),21,90,2,2,1,0,0,0,0,1,0,0,3,90.0,0,0.57,0.5,0.88,3,9.35,-11.65
9355,335,Marcus,Rashford,Rashford,Marcus Rashford,3,MID,Man Utd,22,7200000,11567764,CRY (H) / LEE (H),20,180,2,1,0,3,0,0,0,0,0,0,3,180.0,0,0.98,0.1,1.98,2,11.2,-8.8
3118,111,Leandro,Trossard,Trossard,Leandro Trossard,3,MID,Arsenal,9,6600000,366660,LIV (A),20,86,3,0,0,3,0,0,0,0,0,0,3,90.0,0,0.87,0.15,1.35,3,9.8,-10.2
8494,303,Riyad,Mahrez,Mahrez,Riyad Mahrez,3,MID,Man City,20,7500000,868736,MUN (A) / TOT (H),19,180,2,1,0,4,0,0,0,1,0,0,3,180.0,0,0.52,1.1,2.59,3,12.9,-6.1
757,28,Gabriel,Jesus,Fernando de Jesus,Gabriel Fernando de Jesus,4,FWD,Arsenal,2,8000000,6211795,LEI (H),19,83,2,2,0,2,0,0,0,0,0,0,3,80.0,1,1.91,0.05,0.33,3,12.79,-6.21
9911,356,Callum,Wilson,Wilson,Callum Wilson,4,FWD,Newcastle,14,7300000,277785,AVL (H),19,85,2,2,1,0,0,0,0,0,0,0,3,80.0,1,1.89,0.06,0.37,2,11.74,-7.26
9301,333,Bruno,Fernandes,Borges Fernandes,Bruno Borges Fernandes,3,MID,Man Utd,20,9800000,827084,MCI (H) / CRY (A),19,180,2,0,0,2,0,0,0,0,0,0,5,180.0,0,0.64,0.57,1.2,2,10.91,-8.09
8783,314,Phil,Foden,Foden,Phil Foden,3,MID,Man City,9,8000000,798125,MUN (H),19,74,3,0,0,1,0,0,0,0,0,0,2,70.0,1,1.08,0.03,0.19,2,10.49,-8.51
