,player_code,first_name,web_name,second_name,player_name,position_id,position,team,selected,season_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
0,1.0,Cédric,Cédric,Alves Soares,Cédric Alves Soares,2.0,DEF,Fulham,403746.0,4.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.01,0.38999999999999996,0.0,2.0300000000000002,-1.97
1,2.0,Bernd,Leno,Leno,Bernd Leno,1.0,GK,Fulham,5792373.0,103.0,2250.0,0.0,0.0,7.0,35.0,0.0,0.0,0.0,2.0,0.0,100.0,14.0,2250.0,1.0,0.0,0.0,44.43,0.0,38.0,-65.0
2,3.0,Granit,Xhaka,Xhaka,Granit Xhaka,3.0,MID,Arsenal,8839049.0,106.0,2293.0,4.0,5.0,11.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,2300.0,8.0,2.73,3.1999999999999997,24.57,5.0,90.25,-15.75
3,4.0,Mohamed,Elneny,Elneny,Mohamed Elneny,3.0,MID,Arsenal,2301269.0,6.0,111.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.04,1.29,0.0,3.12,-2.88
4,5.0,Rob,Holding,Holding,Rob Holding,2.0,DEF,Arsenal,345420.0,9.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.03,0.01,0.88,0.0,3.21,-5.79
5,6.0,Thomas,Partey,Partey,Thomas Partey,3.0,MID,Arsenal,1395244.0,72.0,1861.0,3.0,0.0,10.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1865.0,6.0,2.37,1.6600000000000001,20.94,0.0,65.83,-6.17
6,7.0,Martin,Ødegaard,Ødegaard,Martin Ødegaard,3.0,MID,Arsenal,70015700.0,153.0,2311.0,10.0,7.0,11.0,25.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,2310.0,7.0,7.83,6.42,26.05,14.0,133.41,-19.59
7,8.0,Kieran,Tierney,Tierney,Kieran Tierney,2.0,DEF,Arsenal,2493532.0,29.0,510.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1.0,0.26,0.35000000000000003,5.33,2.0,28.61,-0.3899999999999999
8,9.0,Nicolas,Pépé,Pépé,Nicolas Pépé,3.0,MID,Arsenal,408546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10.0,Benjamin,White,White,Benjamin White,2.0,DEF,Arsenal,29501067.0,121.0,2154.0,1.0,3.0,13.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,2150.0,8.0,0.45,2.74,22.419999999999998,15.0,103.92,-17.080000000000002
10,11.0,Eddie,Nketiah,Nketiah,Eddie Nketiah,4.0,FWD,Arsenal,11795153.0,57.0,989.0,4.0,2.0,2.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1010.0,1.0,7.3,1.24,13.33,14.0,76.92,19.92
11,12.0,Emile,Smith Rowe,Smith Rowe,Emile Smith Rowe,3.0,MID,Arsenal,1474035.0,11.0,109.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.25,0.51,1.66,0.0,9.780000000000001,-1.22
12,13.0,Bukayo,Saka,Saka,Bukayo Saka,3.0,MID,Arsenal,68411468.0,170.0,2406.0,12.0,11.0,11.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,2410.0,6.0,9.13,4.8,25.86,14.0,135.05,-34.95
13,14.0,Takehiro,Tomiyasu,Tomiyasu,Takehiro Tomiyasu,2.0,DEF,Arsenal,2231892.0,32.0,651.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,640.0,0.0,0.24000000000000002,0.23,8.93,0.0,19.13,-12.87
14,15.0,Aaron,Ramsdale,Ramsdale,Aaron Ramsdale,1.0,GK,Arsenal,35677349.0,112.0,2520.0,0.0,0.0,12.0,26.0,0.0,0.0,0.0,0.0,0.0,65.0,6.0,2520.0,7.0,0.0,0.02,27.5,0.0,77.06,-34.94
15,16.0,Gabriel,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,2.0,DEF,Arsenal,36226766.0,124.0,2515.0,3.0,0.0,12.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,2510.0,8.0,3.74,0.47000000000000003,27.32,18.0,122.85000000000001,-1.1499999999999977
16,17.0,Nuno,Tavares,Varela Tavares,Nuno Varela Tavares,2.0,DEF,Arsenal,27125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18.0,Albert,Sambi,Sambi Lokonga,Albert Sambi Lokonga,3.0,MID,Crystal Palace,741358.0,21.0,659.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,650.0,1.0,0.0,0.16999999999999998,7.55,0.0,18.51,-2.49
18,19.0,Gabriel,Martinelli,Martinelli Silva,Gabriel Martinelli Silva,3.0,MID,Arsenal,124750374.0,157.0,2253.0,13.0,5.0,13.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,2260.0,8.0,7.91,4.91,24.62,17.0,131.28,-25.720000000000002
19,20.0,Pablo,Pablo Marí,Marí Villar,Pablo Marí Villar,2.0,DEF,Arsenal,59814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21.0,Ainsley,Maitland-Niles,Maitland-Niles,Ainsley Maitland-Niles,3.0,MID,Southampton,138467.0,27.0,956.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,965.0,0.0,0.02,0.59,12.45,0.0,24.87,-2.13
21,22.0,Lucas,Torreira,Torreira di Pascua,Lucas Torreira di Pascua,3.0,MID,Arsenal,358212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,23.0,Reiss,Nelson,Nelson,Reiss Nelson,3.0,MID,Arsenal,99469.0,32.0,103.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,0.73,0.34,0.6,0.0,7.67,-24.330000000000002
23,24.0,Matt,Turner,Turner,Matt Turner,1.0,GK,Arsenal,3919893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,25.0,Fábio,Fábio Vieira,Ferreira Vieira,Fábio Ferreira Vieira,3.0,MID,Arsenal,394819.0,35.0,400.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,410.0,0.0,0.76,1.09,4.21,2.0,26.07,-8.93
25,26.0,William,Saliba,Saliba,William Saliba,2.0,DEF,Arsenal,84772172.0,117.0,2415.0,2.0,1.0,12.0,25.0,1.0,0.0,0.0,4.0,0.0,0.0,14.0,2420.0,7.0,0.91,0.32,26.86,3.0,84.42,-32.58
26,27.0,Marcus,Marquinhos,Oliveira Alencar,Marcus Oliveira Alencar,3.0,MID,Arsenal,229538.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
27,28.0,Gabriel,Jesus,Fernando de Jesus,Gabriel Fernando de Jesus,4.0,FWD,Arsenal,141969725.0,71.0,1258.0,5.0,6.0,7.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,1250.0,5.0,8.23,1.76,11.91,12.0,80.2,9.2
28,29.0,Philippe,Coutinho,Coutinho Correia,Philippe Coutinho Correia,3.0,MID,Aston Villa,12761713.0,32.0,777.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,760.0,2.0,1.37,0.65,8.11,0.0,32.8,0.7999999999999998
29,30.0,Danny,Ings,Ings,Danny Ings,4.0,FWD,West Ham,3922764.0,78.0,1139.0,8.0,0.0,3.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,1130.0,3.0,7.47,0.5599999999999999,18.61,10.0,75.56,-2.44
30,31.0,Emiliano,Martínez,Martínez Romero,Emiliano Martínez Romero,1.0,GK,Aston Villa,13443663.0,88.0,2194.0,0.0,0.0,7.0,32.0,1.0,1.0,0.0,5.0,0.0,68.0,9.0,2190.0,5.0,0.0,0.2,34.27,1.0,58.6,-29.4
31,32.0,Calum,Chambers,Chambers,Calum Chambers,2.0,DEF,Aston Villa,534238.0,8.0,235.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,230.0,0.0,0.05,0.02,4.56,0.0,5.36,-2.6399999999999997
32,33.0,Lucas,Digne,Digne,Lucas Digne,2.0,DEF,Aston Villa,5181060.0,43.0,1287.0,1.0,0.0,3.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,1295.0,3.0,0.33999999999999997,1.27,23.49,6.0,49.85,6.85
33,34.0,Bertrand,Traoré,Traoré,Bertrand Traoré,3.0,MID,Aston Villa,208042.0,2.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.18,0.07,0.49000000000000005,0.0,3.11,1.1099999999999999
34,35.0,Robin,Olsen,Olsen,Robin Olsen,1.0,GK,Aston Villa,4618907.0,9.0,235.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,240.0,1.0,0.0,0.0,6.0600000000000005,0.0,7.0,-2.0
