player_code,first_name,web_name,second_name,position,team,round,value,fixture(s),round_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,defensive_contribution,expected_goals,expected_assists,expected_fpl_points_goals_conceded,expected_fpl_bonus,expected_fpl_points,fpl_points_actual_vs_expected,player_name
426,Bruno,B.Fernandes,Borges Fernandes,MID,Man Utd,2,12000000,Ipswich Town (H),23,90,3,1,0,2,0,0,0,0,0,0,3,8,2.02,0.48,0.0,3,16.54,6.460000000000001,Bruno Borges Fernandes
115,Maxim,De Cuyper,De Cuyper,DEF,Brighton,1,4500000,Aston Villa (H),17,77,1,1,1,0,0,0,0,0,0,0,2,4,1.47,0.21,0.0,3,18.45,-1.4499999999999993,Maxim De Cuyper
124,Pascal,Groß,Groß,MID,Brighton,4,5600000,Coventry City (A),17,90,1,2,1,0,0,0,0,0,0,0,3,6,0.82,0.19,0.0,3,9.67,7.33,Pascal Groß
123,Jack,Hinshelwood,Hinshelwood,MID,Brighton,1,6000000,Aston Villa (H),16,63,2,0,1,0,0,0,0,0,0,0,3,3,1.41,0.02,0.0,2,12.11,3.8900000000000006,Jack Hinshelwood
586,Nobel,Mendy,Mendy,DEF,Hull City,1,4000000,Man Utd (H),15,63,1,0,1,0,0,0,0,0,0,0,1,13,0.28,0.0,0.0,3,8.68,6.32,Nobel Mendy
330,Jayden,Bogle,Bogle,DEF,Leeds,4,4500000,Newcastle (H),15,82,1,0,1,0,0,0,0,0,0,0,3,3,0.41,0.05,0.0,3,7.61,7.39,Jayden Bogle
204,Tyrick,Mitchell,Mitchell,DEF,Crystal Palace,3,4500000,Fulham (A),15,73,2,0,0,2,0,0,0,0,0,0,2,6,0.66,0.01,1.0,0,4.99,10.01,Tyrick Mitchell
94,Kevin,Schade,Schade,MID,Brentford,4,6000000,Bournemouth (A),15,90,2,0,0,2,0,0,0,0,0,0,3,4,0.21,0.1,0.0,0,3.35,11.65,Kevin Schade
330,Jayden,Bogle,Bogle,DEF,Leeds,3,4500000,Brighton (A),14,60,1,0,1,0,0,0,0,1,0,0,3,2,0.9,0.02,0.0,3,9.46,4.539999999999999,Jayden Bogle
305,Leif,Davis,Davis,DEF,Ipswich Town,4,4000000,Crystal Palace (A),14,90,1,2,0,2,0,0,0,0,0,0,1,2,0.52,0.19,0.0,3,8.69,5.309999999999999,Leif Davis
565,Mamadou,M.Sangaré,Sangaré,MID,Brentford,1,5500000,Spurs (H),14,75,0,2,1,0,0,0,0,0,0,0,3,13,0.05,0.33,0.0,2,8.24,5.76,Mamadou Sangaré
279,Semi,Ajayi,Ajayi,DEF,Hull City,1,4000000,Man Utd (H),14,63,1,0,1,0,0,0,0,0,0,0,2,7,0.52,0.0,0.0,1,6.12,7.88,Semi Ajayi
399,Rayan,Cherki,Cherki,MID,Man City,2,7500000,Crystal Palace (A),14,81,2,0,0,1,0,0,0,1,0,0,3,3,0.35,0.55,0.0,1,5.4,8.6,Rayan Cherki
1,David,Raya,Raya Martín,GK,Arsenal,4,6000000,Sunderland (A),14,90,0,0,1,0,0,1,0,0,0,2,3,0,0.0,0.0,1.0,0,1.0,13.0,David Raya Martín
88,Michael,Kayode,Kayode,DEF,Brentford,1,4500000,Spurs (H),13,75,1,0,1,0,0,0,0,0,0,0,1,4,0.5,0.0,0.0,3,12.0,1.0,Michael Kayode
480,Morgan,Gibbs-White,Gibbs-White,MID,Nott'm Forest,2,8000000,Liverpool (A),13,90,1,1,0,2,0,0,0,0,0,0,3,5,0.79,0.04,0.0,3,9.07,3.9299999999999997,Morgan Gibbs-White
411,Erling,Haaland,Haaland,FWD,Man City,2,15500000,Crystal Palace (A),13,90,2,0,0,1,0,0,0,0,0,0,3,5,0.66,0.0,0.0,2,6.64,6.36,Erling Haaland
335,Anton,Stach,Stach,MID,Leeds,1,6000000,Nott'm Forest (A),13,90,1,0,1,0,0,0,0,0,0,0,3,16,0.1,0.05,0.0,0,4.65,8.35,Anton Stach
154,Cole,Palmer,Palmer,MID,Chelsea,1,9500000,Fulham (A),13,82,1,1,0,2,0,0,0,0,0,0,3,9,0.28,0.19,0.0,0,3.97,9.03,Cole Palmer
286,Mohamed,Belloumi,Belloumi,MID,Hull City,4,5000000,Chelsea (A),13,59,2,0,0,1,0,0,0,0,0,0,2,1,0.17,0.06,0.0,0,3.03,9.97,Mohamed Belloumi
379,Alexander,Isak,Isak,FWD,Liverpool,3,9000000,Ipswich Town (A),13,63,2,0,1,0,0,0,0,0,0,0,3,3,0.21,0.05,0.0,0,2.99,10.01,Alexander Isak
124,Pascal,Groß,Groß,MID,Brighton,2,5500000,Chelsea (A),13,90,1,1,0,4,0,0,0,0,0,0,3,6,0.05,0.11,0.0,0,2.58,10.42,Pascal Groß
367,Cody,Gakpo,Gakpo,MID,Liverpool,1,7000000,Newcastle (A),12,90,1,0,0,2,0,0,0,0,0,0,3,12,0.3,0.15,0.0,1,6.95,5.05,Cody Gakpo
69,Alex,Scott,Scott,MID,Bournemouth,2,6000000,Everton (H),12,86,1,0,1,0,0,0,0,1,0,0,3,15,0.26,0.27,0.0,0,5.11,6.89,Alex Scott
504,Luka,Vuskovic,Vušković,DEF,Brighton,3,5000000,Leeds (H),12,90,1,0,0,1,0,0,0,0,0,0,2,10,0.19,0.01,1.0,0,4.17,7.83,Luka Vušković
316,Emersonn,Emersonn,Correia da Silva,FWD,Ipswich Town,4,5500000,Crystal Palace (A),12,62,1,1,0,1,0,0,0,0,0,0,3,2,0.44,0.05,0.0,0,3.91,8.09,Emersonn Correia da Silva
229,James,Tarkowski,Tarkowski,DEF,Everton,2,6000000,Bournemouth (A),12,90,1,0,0,1,0,0,0,0,0,0,2,10,0.1,0.01,1.0,0,3.63,8.370000000000001,James Tarkowski
165,João Pedro,João Pedro,Junqueira de Jesus,FWD,Chelsea,4,7700000,Hull City (H),12,90,1,1,0,2,0,0,0,0,0,0,3,2,0.29,0.04,0.0,0,3.28,8.72,João Pedro Junqueira de Jesus
453,Harvey,Barnes,Barnes,MID,Newcastle,3,6000000,Bournemouth (H),12,90,1,1,0,2,0,0,0,0,0,0,2,6,0.11,0.03,0.0,0,2.64,9.36,Harvey Barnes
116,Lewis,Dunk,Dunk,DEF,Brighton,4,4500000,Coventry City (A),12,90,1,0,1,0,0,0,0,0,0,0,0,6,0.03,0.03,0.0,0,2.27,9.73,Lewis Dunk
427,Bryan,Mbeumo,Mbeumo,MID,Man Utd,2,8000000,Ipswich Town (H),11,90,1,1,0,2,0,0,0,1,0,0,2,5,1.76,0.21,0.0,2,12.43,-1.4299999999999997,Bryan Mbeumo
10,Benjamin,White,White,DEF,Arsenal,1,5500000,Coventry City (H),11,90,0,1,1,0,0,0,0,0,0,0,2,5,0.18,0.21,0.0,3,10.71,0.28999999999999915,Benjamin White
8,Riccardo,Calafiori,Calafiori,DEF,Arsenal,2,5600000,Aston Villa (A),11,90,0,1,1,0,0,0,0,0,0,0,2,3,0.11,0.46,0.0,2,10.04,0.9600000000000009,Riccardo Calafiori
12,Bukayo,Saka,Saka,MID,Arsenal,2,9500000,Aston Villa (A),11,90,1,0,1,0,0,0,0,0,0,0,3,11,0.63,0.04,0.0,1,7.27,3.7300000000000004,Bukayo Saka
449,Lewis,Hall,Hall,DEF,Newcastle,2,5000000,Spurs (A),11,90,0,0,1,0,0,0,0,0,0,0,3,13,0.03,0.31,0.0,2,7.11,3.8899999999999997,Lewis Hall
165,João Pedro,João Pedro,Junqueira de Jesus,FWD,Chelsea,1,7500000,Fulham (A),11,90,1,1,0,2,0,0,0,0,0,0,2,3,0.63,0.06,0.0,1,5.7,5.3,João Pedro Junqueira de Jesus
